ep,avg_step,min_step,max_step,avg_rew,min_rew,max_rew,epsilon,action,rolling_averages_eps,rolling_averages
3600,12.28,1,21,0.894579666667,0.098175,2.0,0.882512750425,3.90666666667,172,0.723298333333
3750,12.906666666666666,1,21,0.849446666667,0.098175,2.0,0.877512583753,4.35333333333,173,0.722881666667
3900,13.233333333333333,1,21,0.826477666667,0.098175,1.9375,0.87251241708,3.89333333333,174,0.718646166667
4050,12.526666666666667,1,21,0.8579285,0.098175,1.9375,0.867512250408,4.20666666667,175,0.715134
4200,12.8,1,21,0.832116166667,0.098175,1.9375,0.862512083736,3.83333333333,176,0.719896166667
4350,11.846666666666666,1,21,0.929478333333,0.098175,1.9375,0.857511917064,3.74,177,0.730075
4500,13.08,1,21,0.8022045,0.098175,2.0,0.852511750392,4.17333333333,178,0.729348333333
4650,11.16,1,21,0.927295,0.098175,2.0,0.847511583719,3.63333333333,179,0.729348333333
4800,12.413333333333334,1,21,0.873210166667,0.098175,1.9375,0.842511417047,3.37333333333,180,0.718646166667
4950,12.8,1,21,0.830003,0.098175,2.0,0.837511250375,4.32,181,0.723825
5100,12.473333333333333,1,21,0.8586485,0.098175,1.9375,0.832511083703,3.98666666667,182,0.7197895
5250,11.406666666666666,1,21,0.951463666667,0.098175,2.0,0.82751091703,4.16,183,0.729858333333
5400,12.453333333333333,1,21,0.902563666667,0.098175,1.9375,0.822510750358,3.51333333333,184,0.729751666667
5550,11.64,1,21,0.973383166667,0.098175,2.0,0.817510583686,3.8,185,0.729751666667
5700,12.106666666666667,1,21,0.9294715,0.098175,1.875,0.812510417014,3.92,186,0.728611666667
5850,11.12,1,21,0.962408666667,0.098175,1.9375,0.807510250342,3.52,187,0.728611666667
6000,10.44,1,21,0.9951085,0.098175,1.9375,0.802510083669,3.16,188,0.735278333333
6150,12.1,1,21,0.919388,0.098175,1.9375,0.797509916997,3.7,189,0.7313495
6300,12.12,1,21,0.903706,0.098175,2.0,0.792509750325,3.98666666667,190,0.730932833333
6450,11.366666666666667,1,21,0.9621825,0.144675,1.9375,0.787509583653,4.1,191,0.742885
6600,11.873333333333333,1,21,0.8948625,0.098175,1.9375,0.78250941698,3.66,192,0.742051666667
6750,12.153333333333334,1,21,0.900221333333,0.098175,2.0,0.777509250308,3.68,193,0.742361666667
6900,12.34,1,21,0.921187833333,0.098175,1.9375,0.772509083636,3.53333333333,194,0.7462905
7050,10.72,1,21,1.00502066667,0.114675,2.0,0.767508916964,3.6,195,0.749909333333
7200,10.433333333333334,1,21,1.02911283333,0.098175,2.0,0.762508750292,3.5,196,0.745563833333
7350,11.42,1,21,0.924957833333,0.098175,1.9375,0.757508583619,3.84,197,0.738897166667
